country,lat,long,yr,inbtou_volume,inbtou_volume_ov,inbtou_volume_sd,inbtou_volume_air,inbtou_volume_cruise,inbtou_spending,inbtou_spending_travel,inbtou_spending_transport,covid19_cases,covid19_deaths,covid19_mortality
antigua_and_barbuda,17.0608,-61.7964,2010,812860,NA,NA,NA,NA,568930500,NA,NA,0,0,0
antigua_and_barbuda,17.0608,-61.7964,2011,870240,NA,NA,NA,NA,598619300,NA,NA,0,0,0
antigua_and_barbuda,17.0608,-61.7964,2012,842690,NA,NA,NA,NA,666070300,NA,NA,0,0,0
antigua_and_barbuda,17.0608,-61.7964,2013,805550,NA,NA,NA,NA,658851600,NA,NA,0,0,0
antigua_and_barbuda,17.0608,-61.7964,2014,792590,NA,NA,NA,NA,595796200,NA,NA,0,0,0
antigua_and_barbuda,17.0608,-61.7964,2015,905670,NA,NA,NA,NA,589232400,NA,NA,0,0,0
antigua_and_barbuda,17.0608,-61.7964,2016,891430,NA,NA,NA,NA,632052500,NA,NA,0,0,0
antigua_and_barbuda,17.0608,-61.7964,2017,1059720,NA,NA,NA,NA,606311600,NA,NA,0,0,0
antigua_and_barbuda,17.0608,-61.7964,2018,1082410,NA,NA,NA,NA,640347900,NA,NA,0,0,0
antigua_and_barbuda,17.0608,-61.7964,2019,1054070,NA,NA,NA,NA,775349800,NA,NA,0,0,0
antigua_and_barbuda,17.0608,-61.7964,2020,397780,NA,NA,NA,NA,349738800,NA,NA,159,5,0.031446540880503145
antigua_and_barbuda,17.0608,-61.7964,2021,252220,NA,NA,NA,NA,487808000,NA,NA,4124,114,0.027643064985451018
antigua_and_barbuda,17.0608,-61.7964,2022,NA,NA,NA,NA,NA,NA,NA,NA,4823,27,0.005598175409496164
aruba,12.5211,-69.9683,2010,NA,822300,NA,NA,NA,1334830500,NA,NA,0,0,0
aruba,12.5211,-69.9683,2011,NA,869000,NA,NA,NA,1422465000.0000002,NA,NA,0,0,0
aruba,12.5211,-69.9683,2012,NA,903900,NA,NA,NA,1508989500.0000002,NA,NA,0,0,0
aruba,12.5211,-69.9683,2013,NA,979300,NA,NA,NA,1607335500.0000002,NA,NA,0,0,0
aruba,12.5211,-69.9683,2014,NA,1072100,NA,NA,NA,1717947000.0000002,NA,NA,0,0,0
aruba,12.5211,-69.9683,2015,NA,1224900,NA,NA,NA,1777998000.0000002,NA,NA,0,0,0
aruba,12.5211,-69.9683,2016,NA,1102000,NA,NA,NA,1735984500.0000002,NA,NA,0,0,0
aruba,12.5211,-69.9683,2017,NA,1070500,NA,NA,NA,1831167000.0000002,NA,NA,0,0,0
aruba,12.5211,-69.9683,2018,NA,1082000,NA,NA,NA,2008434000.0000002,NA,NA,0,0,0
aruba,12.5211,-69.9683,2019,NA,1118900,NA,NA,NA,2080639500.0000002,NA,NA,0,0,0
aruba,12.5211,-69.9683,2020,NA,368300,NA,NA,NA,1057386000.0000001,NA,NA,5489,49,0.008926944798688285
aruba,12.5211,-69.9683,2021,NA,806600,NA,NA,NA,NA,NA,NA,14972,132,0.008816457387122629
aruba,12.5211,-69.9683,2022,NA,NA,NA,NA,NA,NA,NA,NA,23291,99,0.004250568889270534
bahamas,25.025885,-78.035889,2010,5260000,1370000,3890000,NA,NA,2159000000,2147000000,12000000,0,0,0
bahamas,25.025885,-78.035889,2011,5590000,1350000,4240000,NA,NA,2157000000,2142000000,15000000,0,0,0
bahamas,25.025885,-78.035889,2012,5940000,1420000,4520000,NA,NA,2333000000,2311000000,22000000,0,0,0
bahamas,25.025885,-78.035889,2013,6160000,1370000,4790000,NA,NA,2305000000,2285000000,20000000,0,0,0
bahamas,25.025885,-78.035889,2014,6320000,1450000,4870000,NA,NA,2336000000,2316000000,20000000,0,0,0
bahamas,25.025885,-78.035889,2015,6120000,1500000,4620000,NA,NA,2554000000,2537000000,17000000,0,0,0
bahamas,25.025885,-78.035889,2016,6270000,1500000,4770000,NA,NA,3091000000,3074000000,17000000,0,0,0
bahamas,25.025885,-78.035889,2017,6130000,1450000,4680000,NA,NA,2951000000,2930000000,21000000,0,0,0
bahamas,25.025885,-78.035889,2018,6620000,1630000,4990000,NA,NA,3756000000,3728000000,28000000,0,0,0
bahamas,25.025885,-78.035889,2019,7250000,1810000,5440000,NA,NA,4150000000,4125000000,25000000,0,0,0
bahamas,25.025885,-78.035889,2020,1790000,440000,1350000,NA,NA,972000000,967000000,5000000,7871,170,0.02159827213822894
bahamas,25.025885,-78.035889,2021,2100000,890000,1210000,NA,NA,2334000000,2322000000,12000000,16605,547,0.0329418849744053
bahamas,25.025885,-78.035889,2022,NA,NA,NA,NA,NA,NA,NA,NA,13015,116,0.008912792931233192
barbados,13.1939,-59.5432,2010,1197000,532000,665000,NA,NA,NA,1040000000,NA,0,0,0
barbados,13.1939,-59.5432,2011,1187000,568000,619000,NA,NA,NA,970000000,NA,0,0,0
barbados,13.1939,-59.5432,2012,1053000,536000,517000,NA,NA,NA,930000000,NA,0,0,0
barbados,13.1939,-59.5432,2013,1079000,509000,570000,NA,NA,NA,970000000,NA,0,0,0
barbados,13.1939,-59.5432,2014,1079000,521000,558000,NA,NA,NA,890000000,NA,0,0,0
barbados,13.1939,-59.5432,2015,1179000,592000,587000,NA,NA,NA,950000000,NA,0,0,0
barbados,13.1939,-59.5432,2016,1227000,632000,595000,NA,NA,NA,1040000000,NA,0,0,0
barbados,13.1939,-59.5432,2017,1345000,664000,681000,NA,NA,NA,1080000000,NA,0,0,0
barbados,13.1939,-59.5432,2018,1356000,680000,676000,NA,NA,NA,1120000000,NA,0,0,0
barbados,13.1939,-59.5432,2019,966000,523000,443000,NA,NA,NA,1250000000,NA,0,0,0
barbados,13.1939,-59.5432,2020,545000,207000,338000,NA,NA,NA,580000000,NA,383,7,0.018276762402088774
barbados,13.1939,-59.5432,2021,NA,NA,NA,NA,NA,NA,NA,NA,28182,253,0.00897736143637783
barbados,13.1939,-59.5432,2022,NA,NA,NA,NA,NA,NA,NA,NA,76950,308,0.004002599090318389
bonaire_st_eustatius_saba,12.1784,-68.2385,2010,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
bonaire_st_eustatius_saba,12.1784,-68.2385,2011,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
bonaire_st_eustatius_saba,12.1784,-68.2385,2012,NA,NA,NA,149799.99999999997,NA,NA,NA,NA,0,0,0
bonaire_st_eustatius_saba,12.1784,-68.2385,2013,NA,NA,NA,151899.99999999997,NA,NA,NA,NA,0,0,0
bonaire_st_eustatius_saba,12.1784,-68.2385,2014,NA,NA,NA,150400,NA,NA,NA,NA,0,0,0
bonaire_st_eustatius_saba,12.1784,-68.2385,2015,NA,NA,NA,153799.99999999997,NA,NA,NA,NA,0,0,0
bonaire_st_eustatius_saba,12.1784,-68.2385,2016,NA,NA,NA,156000,NA,NA,NA,NA,0,0,0
bonaire_st_eustatius_saba,12.1784,-68.2385,2017,NA,NA,NA,147000,NA,NA,NA,NA,0,0,0
bonaire_st_eustatius_saba,12.1784,-68.2385,2018,NA,NA,NA,166400,NA,NA,NA,NA,0,0,0
bonaire_st_eustatius_saba,12.1784,-68.2385,2019,NA,NA,NA,177100.00000000003,NA,NA,NA,NA,0,0,0
bonaire_st_eustatius_saba,12.1784,-68.2385,2020,NA,NA,NA,72100.00000000001,NA,NA,NA,NA,196,3,0.015306122448979591
bonaire_st_eustatius_saba,12.1784,-68.2385,2021,NA,NA,NA,118899.99999999999,NA,NA,NA,NA,3210,20,0.006230529595015576
bonaire_st_eustatius_saba,12.1784,-68.2385,2022,NA,NA,NA,NA,NA,NA,NA,NA,8310,16,0.0019253910950661852
british_virgin_islands,18.4207,-64.64,2010,831000,330000,501000,NA,NA,643100000,NA,NA,0,0,0
british_virgin_islands,18.4207,-64.64,2011,823000,338000,485000,NA,NA,653800000,NA,NA,0,0,0
british_virgin_islands,18.4207,-64.64,2012,742000,351000,391000,NA,NA,674700000,NA,NA,0,0,0
british_virgin_islands,18.4207,-64.64,2013,733000,366000,367000,NA,NA,714000000,NA,NA,0,0,0
british_virgin_islands,18.4207,-64.64,2014,747000,386000,361000,NA,NA,760600000,NA,NA,0,0,0
british_virgin_islands,18.4207,-64.64,2015,909000,393000,516000,NA,NA,779200000,NA,NA,0,0,0
british_virgin_islands,18.4207,-64.64,2016,1107000,408000,699000,NA,NA,794900000,NA,NA,0,0,0
british_virgin_islands,18.4207,-64.64,2017,745000,335000,410000,NA,NA,639100000,NA,NA,0,0,0
british_virgin_islands,18.4207,-64.64,2018,393000,192000,201000,NA,NA,567900000,NA,NA,0,0,0
british_virgin_islands,18.4207,-64.64,2019,877000,302000,575000,NA,NA,612800000,NA,NA,0,0,0
british_virgin_islands,18.4207,-64.64,2020,302000,83000,219000,NA,NA,NA,NA,NA,86,1,0.011627906976744186
british_virgin_islands,18.4207,-64.64,2021,NA,NA,NA,NA,NA,NA,NA,NA,3406,38,0.011156782149148562
british_virgin_islands,18.4207,-64.64,2022,NA,NA,NA,NA,NA,NA,NA,NA,3813,25,0.0065565171780750066
cayman_islands,19.3133,-81.2546,2010,1890000,290000,1600000,NA,NA,531600000,NA,NA,0,0,0
cayman_islands,19.3133,-81.2546,2011,1710000,310000,1400000,NA,NA,565600000,NA,NA,0,0,0
cayman_islands,19.3133,-81.2546,2012,1830000,320000,1510000,NA,NA,641500000,NA,NA,0,0,0
cayman_islands,19.3133,-81.2546,2013,1730000,350000,1380000,NA,NA,670800000,NA,NA,0,0,0
cayman_islands,19.3133,-81.2546,2014,1990000,380000,1610000,NA,NA,706800000,NA,NA,0,0,0
cayman_islands,19.3133,-81.2546,2015,2110000,390000,1720000,NA,NA,726800000,NA,NA,0,0,0
cayman_islands,19.3133,-81.2546,2016,2100000,390000,1710000,NA,NA,737000000,NA,NA,0,0,0
cayman_islands,19.3133,-81.2546,2017,2150000,420000,1730000,NA,NA,789600000,NA,NA,0,0,0
cayman_islands,19.3133,-81.2546,2018,2380000,460000,1920000,NA,NA,849400000,NA,NA,0,0,0
