yr,inbtou_volume,inbtou_spending,covid19_cases,covid19_deaths,covid19_mortality
2010,812860,568930500,0,0,0
2011,870240,598619300,0,0,0
2012,842690,666070300,0,0,0
2013,805550,658851600,0,0,0
2014,792590,595796200,0,0,0
2015,905670,589232400,0,0,0
2016,891430,632052500,0,0,0
2017,1059720,606311600,0,0,0
2018,1082410,640347900,0,0,0
2019,1054070,775349800,0,0,0
2020,397780,349738800,159,5,0.031446540880503145
2021,252220,487808000,4124,114,0.027643064985451018
2022,NA,NA,4823,27,0.005598175409496164
