yr,inbtou_volume_ov,inbtou_spending,covid19_cases,covid19_deaths,covid19_mortality
2010,822300,1334830500,0,0,0
2011,869000,1422465000.0000002,0,0,0
2012,903900,1508989500.0000002,0,0,0
2013,979300,1607335500.0000002,0,0,0
2014,1072100,1717947000.0000002,0,0,0
2015,1224900,1777998000.0000002,0,0,0
2016,1102000,1735984500.0000002,0,0,0
2017,1070500,1831167000.0000002,0,0,0
2018,1082000,2008434000.0000002,0,0,0
2019,1118900,2080639500.0000002,0,0,0
2020,368300,1057386000.0000001,5489,49,0.008926944798688285
2021,806600,NA,14972,132,0.008816457387122629
