yr,inbtou_volume,inbtou_volume_ov,inbtou_volume_sd,inbtou_spending_travel,covid19_cases,covid19_deaths,covid19_mortality
2010,1197000,532000,665000,1040000000,0,0,0
2011,1187000,568000,619000,970000000,0,0,0
2012,1053000,536000,517000,930000000,0,0,0
2013,1079000,509000,570000,970000000,0,0,0
2014,1079000,521000,558000,890000000,0,0,0
2015,1179000,592000,587000,950000000,0,0,0
2016,1227000,632000,595000,1040000000,0,0,0
2017,1345000,664000,681000,1080000000,0,0,0
2018,1356000,680000,676000,1120000000,0,0,0
2019,966000,523000,443000,1250000000,0,0,0
2020,545000,207000,338000,580000000,383,7,0.018276762402088774
2021,NA,NA,NA,NA,28182,253,0.00897736143637783
2022,NA,NA,NA,NA,76950,308,0.004002599090318389
