yr,inbtou_volume,inbtou_volume_ov,inbtou_volume_sd,inbtou_spending,covid19_cases,covid19_deaths,covid19_mortality
2010,831000,330000,501000,643100000,0,0,0
2011,823000,338000,485000,653800000,0,0,0
2012,742000,351000,391000,674700000,0,0,0
2013,733000,366000,367000,714000000,0,0,0
2014,747000,386000,361000,760600000,0,0,0
2015,909000,393000,516000,779200000,0,0,0
2016,1107000,408000,699000,794900000,0,0,0
2017,745000,335000,410000,639100000,0,0,0
2018,393000,192000,201000,567900000,0,0,0
2019,877000,302000,575000,612800000,0,0,0
2020,302000,83000,219000,NA,86,1,0.011627906976744186
2021,NA,NA,NA,NA,3406,38,0.011156782149148562
