mo,inbtou_volume,covid19_cases,covid19_deaths,covid19_mortality
2019/01/01,489600,0,0,0
2019/02/01,459400,0,0,0
2019/03/01,521400,0,0,0
2019/04/01,458100,0,0,0
2019/05/01,358300,0,0,0
2019/06/01,274800,0,0,0
2019/07/01,295000,0,0,0
2019/08/01,269300,0,0,0
2019/09/01,201300,0,0,0
2019/10/01,235600,0,0,0
2019/11/01,333900,0,0,0
2019/12/01,378700,0,0,0
2020/01/01,393700,0,0,0
2020/02/01,398900,0,0,0
2020/03/01,189400,186,6,0.03225806451612903
2020/04/01,1200,1315,55,0.04182509505703422
2020/05/01,1000,544,22,0.04044117647058824
2020/06/01,1100,296,3,0.010135135135135136
2020/07/01,1500,267,1,0.003745318352059925
2020/08/01,1300,1424,7,0.0049157303370786515
2020/09/01,1700,1565,28,0.017891373801916934
2020/10/01,3300,1290,6,0.004651162790697674
2020/11/01,28000,1397,7,0.005010737294201861
2020/12/01,64900.00000000001,3579,11,0.003073484213467449
2021/01/01,22300,14823,68,0.004587465425352493
2021/02/01,13200,23093,108,0.004676741869830685
2021/03/01,12500,25484,102,0.004002511379689217
2021/04/01,16600,31444,220,0.006996565322478056
2021/05/01,23500,35559,314,0.008830394555527433
2021/06/01,26200,48727,326,0.006690335953372873
2021/07/01,26900,193603,1474,0.007613518385562207
2021/08/01,22400,268259,2545,0.009487100153210144
2021/09/01,17000,224573,2133,0.00949802514104545
2021/10/01,23200,74573,800,0.010727743285103187
2021/11/01,51100,10485,68,0.006485455412494039
2021/12/01,101300,3518,18,0.00511654349061967
