yr,inbtou_volume,inbtou_volume_ov,inbtou_volume_sd,inbtou_spending,inbtou_spending_travel,inbtou_spending_transport,covid19_cases,covid19_deaths,covid19_mortality
2010,754650,334650,420000,438000000,385000000,53000000,0,0,0
2011,826280,379280,447000,540000000,453000000,87000000,0,0,0
2012,892760,405760,487000,676000000,543000000,133000000,0,0,0
2013,1052150,422150,630000,778000000,583000000,195000000,0,0,0
2014,1104100,427100,677000,820000000,635000000,185000000,0,0,0
2015,1071540,467540,604000,712000000,607000000,105000000,0,0,0
2016,943360,441360,502000,644000000,573000000,71000000,0,0,0
2017,1057840,398840,659000,572000000,551000000,21000000,0,0,0
2018,1209700,431700,778000,604000000,593000000,11000000,0,0,0
2019,1292690,463690,829000,706000000,703000000,3000000,0,0,0
2020,435870,174870,261000,282000000,281000000,1000000,4260,14,0.0032863849765258214
2021,NA,265000,NA,460000000,459000000,1000000,17065,175,0.010254907705830648
