yr,inbtou_volume,inbtou_volume_ov,inbtou_volume_sd,covid19_cases,covid19_deaths,covid19_mortality
2010,793000,255000,538000,0,0,0
2011,946000,349000,597000,0,0,0
2012,959000,349000,610000,0,0,0
2013,1064000,420000,644000,0,0,0
2014,1127000,465000,662000,0,0,0
2015,1190000,516000,674000,0,0,0
2016,1153000,445000,708000,0,0,0
2017,1262000,467000,795000,0,0,0
2018,1332000,447000,885000,0,0,0
2019,938000,286000,652000,0,0,0
2020,322000,203000,119000,9999,236,0.023602360236023603
2021,NA,NA,NA,16170,537,0.03320964749536178
2022,NA,NA,NA,7724,87,0.01126359399274987
