yr,inbtou_volume_ov,inbtou_spending,covid19_cases,covid19_deaths,covid19_mortality
2010,1920000,2000000000,0,0,0
2011,1950000,2009999999.9999998,0,0,0
2012,1990000,2069999999.9999998,0,0,0
2013,2009999.9999999998,2109999999.9999998,0,0,0
2014,2080000,2240000000,0,0,0
2015,2120000,2400000000,0,0,0
2016,2180000,2610000000,0,0,0
2017,2350000,3010000000,0,0,0
2018,2470000,3310000000,0,0,0
2019,2680000,3640000000,0,0,0
2020,880000,1260000000,12827,302,0.02354408669213378
2021,NA,NA,81093,2171,0.026771731222177006
2022,NA,NA,58838,988,0.016791869200176758
