yr,inbtou_volume,inbtou_volume_ov,inbtou_volume_sd,covid19_cases,covid19_deaths,covid19_mortality
2010,553000,478000,75000,0,0,0
2011,538000,497000,41000,0,0,0
2012,603000,488000,115000,0,0,0
2013,623000,490000,133000,0,0,0
2014,696000,490000,206000,0,0,0
2015,761000,487000,274000,0,0,0
2016,842000,519000,323000,0,0,0
2017,1003000,536000,467000,0,0,0
2018,1002000,537000,465000,0,0,0
2019,919000,556000,363000,0,0,0
2020,523000,312000,211000,6072,42,0.00691699604743083
2021,312000,291000,21000,42051,735,0.017478775772276522
2022,NA,NA,NA,176703,299,0.00169210483127055
