mo,inbtou_volume,covid19_cases,covid19_deaths,covid19_mortality
2019/01/01,174780,0,0,0
2019/02/01,167690,0,0,0
2019/03/01,200370,0,0,0
2019/04/01,186040,0,0,0
2019/05/01,188210,0,0,0
2019/06/01,223360,0,0,0
2019/07/01,240250,0,0,0
2019/08/01,205590,0,0,0
2019/09/01,143980,0,0,0
2019/10/01,150720,0,0,0
2019/11/01,180820,0,0,0
2019/12/01,204170,0,0,0
2020/01/01,175350,0,0,0
2020/02/01,186240,0,0,0
2020/03/01,105450,239,8,0.03347280334728033
2020/04/01,10760,710,84,0.11830985915492957
2020/05/01,17010,339,44,0.12979351032448377
2020/06/01,73430,405,17,0.04197530864197531
2020/07/01,119100,4304,66,0.01533457249070632
2020/08/01,65410,9479,215,0.022681717480746915
2020/09/01,78850,8524,227,0.02663068981698733
2020/10/01,114060,10138,161,0.015880844347997632
2020/11/01,104460,18407,284,0.015428912913565492
2020/12/01,86320,23746,397,0.016718605238777058
