yr,inbtou_volume,inbtou_volume_ov,inbtou_volume_sd,inbtou_spending,inbtou_spending_travel,inbtou_spending_transport,covid19_cases,covid19_deaths,covid19_mortality
2010,490000,388000,102000,630000000,450000000,180000000,0,0,0
2011,491000,431000,60000,650000000,472000000,178000000,0,0,0
2012,504000,455000,49000,852000000,413000000,439000000,0,0,0
2013,467000,434000,33000,856000000,430000000,426000000,0,0,0
2014,455000,412000,43000,875000000,447000000,428000000,0,0,0
2015,519000,440000,79000,809000000,531000000,278000000,0,0,0
2016,492000,409000,83000,708000000,464000000,244000000,0,0,0
2017,465000,395000,70000,717000000,453000000,264000000,0,0,0
2018,501000,375000,126000,541000000,429000000,112000000,0,0,0
2019,480000,389000,91000,481000000,436000000,45000000,0,0,0
2020,141000,95000,46000,152000000,144000000,8000000,7150,127,0.017762237762237763
2021,NA,NA,NA,60000000,55000000,5000000,84749,2742,0.032354364063292784
