Province/State,Country/Region,Lat,Long,1/20,2/20,3/20,4/20,5/20,6/20,7/20,8/20,9/20,10/20,11/20,12/20,1/21,2/21,3/21,4/21,5/21,6/21,7/21,8/21,9/21,10/21,11/21,12/21,1/22,2/22,3/22,4/22,5/22,6/22,7/22,8/22,9/22,10/22,11/22,12/22,1/23,2/23
,Antigua and Barbuda,17.0608,-61.7964,0,0,7,17,2,43,22,3,7,27,13,18,75,496,406,96,28,3,40,412,1516,827,83,142,2344,810,54,135,627,388,132,201,124,8,0,0,0,0
,Bahamas,25.025885,-78.035889,0,0,14,67,21,2,470,1643,1906,2591,827,330,303,345,600,1334,1343,790,2254,3299,2845,1367,440,1685,8086,573,148,275,1201,1216,749,351,215,96,97,8,0,0
,Barbados,13.1939,-59.5432,0,0,34,47,11,5,13,64,16,47,39,107,1162,1523,584,203,162,64,309,642,3349,9382,7553,3249,15865,10735,4107,10808,10574,3767,7665,9034,1460,434,1402,1099,642,488
,Cuba,21.521757,-77.781167,0,0,186,1315,544,296,267,1424,1565,1290,1397,3579,14823,23093,25484,31444,35559,48727,193603,268259,224573,74573,10485,3518,78786,25072,20423,12656,2378,704,2071,2445,647,99,107,601,445,160
,Dominica,15.415,-61.371,0,0,12,4,0,2,0,2,10,20,35,3,29,25,19,13,14,5,17,1428,1843,1342,1205,786,2218,2076,751,174,2151,668,0,0,895,13,0,0,0,0
,Dominican Republic,18.7357,-70.1627,0,0,1109,5863,10313,15283,37081,25066,17494,14809,16970,26797,43275,25557,13110,13834,26225,32435,16684,8268,8874,22620,25584,11527,136467,19311,3464,1228,4781,21755,22429,10287,5856,2916,3109,5159,4555,438
Martinique,France,14.6415,-61.0242,0,0,128,50,22,42,27,346,928,2009,1861,659,298,376,933,2812,1488,307,4929,18738,5253,1977,1993,2947,39511,24481,32199,7658,10191,33749,13946,5724,4610,3536,740,358,3686,363
,Grenada,12.1165,-61.679,0,0,9,11,3,0,1,0,0,4,13,86,21,0,7,5,1,0,3,297,4734,645,57,284,6155,1354,322,617,3121,607,429,503,247,55,40,13,36,0
,Haiti,18.9712,-72.2852,0,0,15,61,1508,4263,1531,831,531,314,218,727,1673,859,285,333,1974,3721,1482,721,1126,1918,1260,818,3308,873,213,140,189,785,728,1146,182,78,35,47,183,67
,Jamaica,18.1096,-77.2975,0,0,36,386,164,116,176,1581,4023,2612,1669,2064,2826,7610,15974,6341,2979,1567,2771,15236,15606,5277,2235,2671,30592,3474,771,1221,7288,5538,3568,3426,2031,102,586,241,649,658
Aruba,Netherlands,12.5211,-69.9683,0,0,55,45,1,2,18,1885,1957,550,332,644,1477,925,1552,1195,347,153,592,2846,924,425,429,4107,12539,684,282,880,2188,3684,1362,768,122,364,307,111,241,33
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,0,0,0,5,1,1,4,4,106,32,9,34,0,0,0,1362,55,36,58,84,305,339,503,468,3595,581,958,1205,346,314,429,396,115,105,105,161,67,14
Curacao,Netherlands,12.1696,-68.99,0,0,11,5,3,4,6,39,324,578,1409,1881,325,145,3674,3791,77,70,1283,1674,1201,584,317,3924,15803,1816,1402,1895,1623,681,518,239,66,99,519,0,0,0
Sint Maarten,Netherlands,18.0425,-63.0548,0,0,6,69,2,0,51,348,191,159,240,390,397,204,90,83,184,204,152,949,564,211,94,609,4111,253,166,309,317,227,161,95,27,59,32,34,22,6
,Saint Kitts and Nevis,17.357822,-62.782998,0,0,8,7,0,0,2,0,2,0,3,10,5,4,3,0,24,378,147,498,827,751,117,213,2423,108,19,13,167,336,397,50,32,4,8,6,30,4
,Saint Lucia,13.9094,-60.9789,0,0,13,4,1,1,6,1,1,51,181,94,842,2195,848,314,515,229,314,2609,3240,1100,441,570,7372,1752,259,441,2199,1429,944,809,633,231,72,30,62,79
,Saint Vincent and the Grenadines,12.9843,-61.2872,0,0,1,15,10,3,25,6,4,10,11,36,780,655,192,116,171,190,66,45,1172,1487,530,325,2053,406,26,84,251,381,303,74,20,9,17,64,47,4
,Trinidad and Tobago,10.6918,-61.2225,0,0,87,29,1,13,39,1590,2772,1161,977,481,414,149,313,2798,13085,8884,6018,6036,5862,6620,14032,20538,19650,16218,10093,10007,13717,5513,4413,7636,4035,1532,664,656,1875,1388
British Virgin Islands,United Kingdom,18.4207,-64.64,0,0,3,3,2,0,0,39,24,0,0,15,28,39,0,41,54,50,2202,68,74,83,48,719,2383,210,56,214,410,176,190,160,14,0,0,0,0,0
Cayman Islands,United Kingdom,19.3133,-81.2546,0,0,14,59,68,59,3,2,6,29,34,64,52,54,56,43,41,30,29,37,160,810,5424,1744,4970,5585,1233,1617,3095,1853,1613,1273,604,345,353,113,0,0
Montserrat,United Kingdom,16.742498,-62.187366,0,0,5,6,0,0,1,1,0,0,0,0,0,7,0,0,0,0,1,8,5,7,3,2,117,1,11,66,739,38,36,91,258,0,0,0,0,0
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,0,0,5,7,0,29,66,401,181,14,45,145,610,611,215,59,29,8,59,166,194,136,116,188,2443,140,43,53,160,96,84,66,11,49,17,33,43,29
Virgin Islands,US,18.3358,-64.8963,0,0,30,36,3,12,325,728,184,58,168,492,385,225,261,218,317,437,750,1295,834,446,307,2137,5222,528,238,713,3183,1396,847,936,455,178,176,261,759,226
Puerto Rico,US,18.2208,-66.5901,0,0,239,710,339,405,4304,9479,8524,10138,18407,23746,17333,6673,7173,24486,6801,1301,6743,24025,10422,4034,3166,84276,185211,15996,7079,56704,132954,102981,80855,69543,33277,25048,28755,43112,29549,14454
