Province/State,Country/Region,Lat,Long,2020,2021,2022
,Antigua and Barbuda,17.0608,-61.7964,159,4124,4823
,Bahamas,25.025885,-78.035889,7871,16605,13015
,Barbados,13.1939,-59.5432,383,28182,76950
,Cuba,21.521757,-77.781167,11863,954141,145989
,Dominica,15.415,-61.371,88,6726,8946
,Dominican Republic,18.7357,-70.1627,170785,247993,236762
Guadeloupe,France,16.265,-61.551,8620,47175,142813
Martinique,France,14.6415,-61.0242,6072,42051,176703
,Grenada,12.1165,-61.679,127,6054,13463
,Haiti,18.9712,-72.2852,9999,16170,7724
,Jamaica,18.1096,-77.2975,12827,81093,58838
Aruba,Netherlands,12.5211,-69.9683,5489,14972,23291
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,196,3210,8310
Curacao,Netherlands,12.1696,-68.99,4260,17065,24661
Sint Maarten,Netherlands,18.0425,-63.0548,1456,3741,5791
,Saint Kitts and Nevis,17.357822,-62.782998,32,2967,3563
,Saint Lucia,13.9094,-60.9789,353,13217,16171
,Saint Vincent and the Grenadines,12.9843,-61.2872,121,5729,3688
,Trinidad and Tobago,10.6918,-61.2225,7150,84749,94134
British Virgin Islands,United Kingdom,18.4207,-64.64,86,3406,3813
Cayman Islands,United Kingdom,19.3133,-81.2546,338,8480,22654
Montserrat,United Kingdom,16.742498,-62.187366,13,33,1357
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,893,2391,3195
Virgin Islands,US,18.3358,-64.8963,2036,7612,14133
Puerto Rico,US,18.2208,-66.5901,76291,196433,781515
