Province/State,Country/Region,Lat,Long,1/20,2/20,3/20,4/20,5/20,6/20,7/20,8/20,9/20,10/20,11/20,12/20,1/21,2/21,3/21,4/21,5/21,6/21,7/21,8/21,9/21,10/21,11/21,12/21,1/22,2/22,3/22,4/22,5/22,6/22,7/22,8/22,9/22,10/22,11/22,12/22,1/23,2/23
,Antigua and Barbuda,17.0608,-61.7964,0,0,0,3,0,0,0,0,0,0,1,1,2,7,14,4,10,0,1,1,35,23,15,2,8,8,0,1,2,3,3,1,1,0,0,0,0,0
,Bahamas,25.025885,-78.035889,0,0,0,11,0,0,3,36,46,48,19,7,6,3,9,11,31,16,41,67,177,112,28,46,29,25,17,10,12,7,5,1,10,0,0,0,0,0
,Barbados,13.1939,-59.5432,0,0,0,7,0,0,0,0,0,0,0,0,7,19,9,2,3,0,1,2,24,79,76,31,20,36,58,20,56,27,16,49,18,0,7,1,3,4
,Cuba,21.521757,-77.781167,0,0,6,55,22,3,1,7,28,6,7,11,68,108,102,220,314,326,1474,2545,2133,800,68,18,77,95,16,16,3,0,0,1,0,0,0,0,0,0
,Dominica,15.415,-61.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,12,6,9,4,6,6,0,2,3,0,0,6,0,0,0,0,0
,Dominican Republic,18.7357,-70.1627,0,0,51,250,201,245,413,550,395,140,86,83,252,434,225,155,148,194,141,45,38,84,74,43,60,61,7,1,1,6,0,1,0,0,0,0,0,0
Guadeloupe,France,16.265,-61.551,0,0,4,8,2,0,0,2,41,69,23,6,2,7,9,38,44,12,13,228,259,48,8,8,13,74,13,11,5,8,10,21,3,4,2,2,10,3
Martinique,France,14.6415,-61.0242,0,0,3,11,0,0,1,1,5,9,10,2,2,1,5,20,25,3,6,307,215,55,29,67,55,39,42,5,0,47,27,30,20,5,24,5,13,3
,Grenada,12.1165,-61.679,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,139,57,2,0,10,6,2,2,6,6,2,2,1,0,0,1,0,0
,Haiti,18.9712,-72.2852,0,0,0,6,29,69,55,42,26,5,0,4,9,5,1,9,61,126,116,23,40,60,60,27,31,16,13,2,0,2,1,3,16,0,3,0,0,0
,Jamaica,18.1096,-77.2975,0,0,1,7,1,1,0,11,86,99,51,45,48,72,174,182,170,127,115,328,351,367,156,81,185,155,75,74,94,72,66,60,63,3,79,62,19,20
Aruba,Netherlands,12.5211,-69.9683,0,0,0,2,1,0,0,7,17,11,7,4,10,14,13,13,8,0,3,36,20,5,3,7,12,18,1,0,1,8,3,3,3,2,4,44,1,1
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,12,2,0,0,0,2,0,3,1,5,3,0,3,1,2,0,1,0,0,0,1,2,0
Curacao,Netherlands,12.1696,-68.99,0,0,1,0,0,0,0,0,0,0,3,10,7,1,13,74,13,4,0,18,19,11,4,11,43,29,6,7,3,1,4,5,0,3,5,4,2,0
Sint Maarten,Netherlands,18.0425,-63.0548,0,0,0,13,2,0,0,2,5,0,3,2,0,0,0,0,1,5,1,17,15,9,0,0,4,6,1,0,0,0,1,0,0,1,1,0,0,2
,Saint Kitts and Nevis,17.357822,-62.782998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,10,5,0,5,9,1,0,0,0,3,0,0,0,0,0,0,1
,Saint Lucia,13.9094,-60.9789,0,0,0,0,0,0,0,0,0,0,2,3,8,22,25,14,5,5,5,15,97,54,25,15,33,30,7,3,3,12,2,6,2,14,1,1,0,0
,Saint Vincent and the Grenadines,12.9843,-61.2872,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,1,1,0,0,0,9,47,6,7,13,12,0,0,1,5,3,0,1,0,0,3,4,0
,Trinidad and Tobago,10.6918,-61.2225,0,0,3,5,0,0,0,14,54,32,12,7,7,5,3,27,326,352,223,221,191,214,462,711,535,224,122,79,88,94,42,91,63,42,18,16,43,21
British Virgin Islands,United Kingdom,18.4207,-64.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,1,1,10,13,0,0,0,1,0,1,0,0,0,0,0,0
Cayman Islands,United Kingdom,19.3133,-81.2546,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,6,4,2,8,2,1,0,1,0,3,2,2,1,0,0
Montserrat,United Kingdom,16.742498,-62.187366,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,0,0,0,1,0,1,0,2,2,0,0,0,3,5,3,0,0,1,0,2,3,0,1,2,8,2,0,0,0,0,0,0,0,0,0,0,2,0
Virgin Islands,US,18.3358,-64.8963,0,0,0,4,2,0,2,6,6,1,2,0,1,1,1,1,0,3,7,18,16,10,6,2,12,8,2,0,2,5,2,2,1,1,1,2,2,1
Puerto Rico,US,18.2208,-66.5901,0,0,8,84,44,17,66,215,227,161,284,397,326,207,82,192,195,44,31,295,274,85,36,35,550,255,60,37,156,208,197,203,181,108,107,174,152,103
