Province/State,Country/Region,Lat,Long,2020,2021,2022
,Antigua and Barbuda,17.0608,-61.7964,5,114,27
,Bahamas,25.025885,-78.035889,170,547,116
,Barbados,13.1939,-59.5432,7,253,308
,Cuba,21.521757,-77.781167,146,8176,208
,Dominica,15.415,-61.371,0,47,27
,Dominican Republic,18.7357,-70.1627,2414,1833,137
Guadeloupe,France,16.265,-61.551,155,676,166
Martinique,France,14.6415,-61.0242,42,735,299
,Grenada,12.1165,-61.679,0,200,38
,Haiti,18.9712,-72.2852,236,537,87
,Jamaica,18.1096,-77.2975,302,2171,988
Aruba,Netherlands,12.5211,-69.9683,49,132,99
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,3,20,16
Curacao,Netherlands,12.1696,-68.99,14,175,110
Sint Maarten,Netherlands,18.0425,-63.0548,27,48,14
,Saint Kitts and Nevis,17.357822,-62.782998,0,28,18
,Saint Lucia,13.9094,-60.9789,5,290,114
,Saint Vincent and the Grenadines,12.9843,-61.2872,0,81,38
,Trinidad and Tobago,10.6918,-61.2225,127,2742,1414
British Virgin Islands,United Kingdom,18.4207,-64.64,1,38,25
Cayman Islands,United Kingdom,19.3133,-81.2546,2,9,26
Montserrat,United Kingdom,16.742498,-62.187366,1,0,7
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,6,20,10
Virgin Islands,US,18.3358,-64.8963,23,66,38
Puerto Rico,US,18.2208,-66.5901,1503,1802,2236
